Word,POS,Random #,n-all,mean-a,std.dev-a,n-m,mean-m,std.dev-m,n-f,mean--f,std.dev-f,valence,arousal,dom
mangle,v,97,25,5.44,1.227464,17,5.411765,1.175735,8,5.5,1.414214,3.9,5.44,4.61
massacre,,137,28,5.357143,1.445665,16,4.9375,1.436141,12,5.916667,1.311372,2.28,5.33,3.5
master,n,361,27,4.851852,1.231125,13,4.461538,1.265924,14,5.214286,1.121714,,,
mature,,56,23,4.304348,1.362977,16,4.5,1.460593,7,3.857143,1.069045,,,
mean,adj,659,20,4.95,1.190975,8,4.875,1.642081,12,5,0.8528029,,,
meaningful,,369,21,4.190476,1.167007,16,4.1875,1.223043,5,4.2,1.095445,,,
meddling,,495,31,4.322581,1.491914,20,4.45,1.637553,11,4.090909,1.221028,,,
mellow,adj,660,20,4.05,1.394538,8,4.625,1.407886,12,3.666667,1.302678,,,
mild,,348,28,3.535714,1.261455,15,3.2,1.014185,13,3.923077,1.441153,,,
milieu,,462,25,4.08,1.187434,15,4.2,1.320173,10,3.9,0.9944289,,,
minute,,198,26,4,0.9797959,9,4.333333,0.7071068,17,3.823529,1.074436,,,
misconduct,,171,23,4.608696,1.233588,13,4.538462,1.330124,10,4.7,1.159502,,,
misery,n,136,28,4.321429,1.188013,16,4.375,1.204159,12,4.25,1.215431,1.93,5.17,2.55
mislead,v,221,25,4.32,1.314027,14,4.071429,1.206666,11,4.636364,1.433369,,,
mistake,n,595,32,4.4375,0.7593503,14,4.571429,0.9376145,18,4.333333,0.5940885,2.86,5.18,3.86
mistress,n,344,28,2.142857,1.6265,15,2.2,1.780851,13,2.076923,1.497862,,,
modest,adj,565,21,2.761905,1.091089,12,3.25,1.05529,9,2.111111,0.781736,5.76,3.98,4.96
mogul,,538,26,5.192308,1.296741,16,5.1875,1.327592,10,5.2,1.316561,,,
molest,,511,31,4.903226,1.422553,14,4.357143,1.392681,17,5.352941,1.320094,,,
money,n,273,30,4.633333,1.217214,14,4.642857,1.392681,16,4.625,1.087811,7.59,5.7,6.25
month,,330,17,3.823529,1.286239,5,3.6,0.8944272,12,3.916667,1.443376,5.15,4.03,4.85
moody,,353,27,3.037037,1.400041,13,3,1.779513,14,3.071429,0.997249,3.2,4.18,4.39
morning,,359,27,3.62963,1.334401,13,3.384615,1.609268,14,3.857143,1.027105,,,
motel,,178,16,3.375,1.204159,10,3.4,1.429841,6,3.333333,0.8164966,,,
mouth,,650,32,4.0625,1.075759,20,4.05,1.316894,12,4.083333,0.5149287,,,
multi-tasking,adj,142,30,3.666667,1.321789,14,4.357143,1.150728,16,3.0625,1.181454,,,
mutable,,276,30,4.133333,1.166585,14,4.285714,1.069045,16,4,1.264911,,,
mutilate,v,468,30,4.766667,1.194335,14,4.642857,1.215739,16,4.875,1.204159,1.82,6.41,3.41
narcissistic,,602,32,4.8125,1.401324,14,4.714286,1.382783,18,4.888889,1.450715,,,
neglect,,540,26,4.5,1.140175,16,4.375,1.087811,10,4.7,1.251666,2.63,4.83,3.85
new,,593,32,3.96875,0.9994958,14,4.285714,1.325987,18,3.722222,0.5745131,,,
noisy,adj,666,25,4.76,1.090871,9,4.555556,1.013794,16,4.875,1.147461,5.02,6.38,4.93
nose,,364,21,4,0.83666,16,3.875,0.8062258,5,4.4,0.8944272,,,
nosy,,627,21,3.428571,1.247855,11,3.818182,1.167748,10,3,1.247219,,,
number,,290,22,4.363636,1.048602,12,4.5,1.243163,10,4.2,0.7888106,,,
nurse,,617,27,2.962963,1.531251,13,3.307692,1.702186,14,2.642857,1.336306,6.08,4.84,4.84
obnoxious,,392,19,4.947368,1.432701,7,3.714286,1.112697,12,5.666667,1.073087,3.5,4.74,5.39
ocean,,338,24,3.5,1.14208,12,3.333333,0.7784989,12,3.666667,1.435481,7.12,4.95,5.53
