Word,POS,Random #,n-all,mean-a,std.dev-a,n-m,mean-m,std.dev-m,n-f,mean--f,std.dev-f,valence,arousal,dom
supremacy,n,222,25,5.28,1.061446,14,5.071429,1.071612,11,5.545455,1.035725,,,
surrender,verb,125,26,4.346154,1.468123,19,4.368421,1.498537,7,4.285714,1.496026,,,
swagger,,416,19,5.421053,1.464991,10,4.9,1.449138,9,6,1.322876,,,
tease,,,30,3.233333,1.430778,19,3.210526,1.718492,11,3.272727,0.7862454,4.84,5.87,4.67
tempermental,,172,16,3.875,1.707825,10,3.8,1.932184,6,4,1.414214,,,
tenacious,adj,300,26,4.384615,1.416388,14,4.785714,1.251373,12,3.916667,1.505042,,,
terrible,adj,621,27,4.851852,0.9885383,13,4.769231,1.165751,14,4.928571,0.8287419,1.93,6.27,3.58
terrific,adj,678,23,4.043478,1.397344,12,3.833333,1.267304,11,4.272727,1.55505,8.16,6.23,6.6
terrified,adj,63,26,3.730769,1.282426,13,3.923077,1.441153,13,3.538462,1.126601,1.72,7.86,3.08
terror,,480,25,5.08,1.255654,13,4.615385,1.325296,12,5.583333,0.9962049,,,
terrorist,,286,22,5.772727,1.411916,12,5.75,1.76455,10,5.8,0.9189366,1.69,7.27,2.65
terse,,437,44,4.568182,1.283124,25,4.56,1.356466,19,4.578947,1.21636,,,
thankful,adj,663,25,3.36,0.9521905,9,3.666667,1.118034,16,3.1875,0.8341663,,,
thankless,,546,25,4.52,1.446836,15,4.666667,1.632993,10,4.3,1.159502,,,
thought,n,644,32,4.21875,1.263236,20,4.55,1.431782,12,3.666667,0.6513389,6.39,4.83,6.02
thoughtful,,34,22,2.909091,1.150945,11,2.909091,1.30035,11,2.909091,1.044466,7.65,5.72,5.61
thug,,197,26,5.923077,1.016782,9,5.444444,0.8819171,17,6.176471,1.014599,,,
tolerant,adj,684,25,3.72,1.486607,13,4,1.732051,12,3.416667,1.1645,,,
torment,n,434,44,5,1.275895,25,4.96,1.428286,19,5.052632,1.078769,,,
torture,n,260,21,4.857143,1.49284,14,4.785714,1.476929,7,5,1.632993,1.56,6.1,3.33
tough,,140,28,5.25,1.377733,16,5.0625,1.611159,12,5.5,1,,,
toxic,adj,674,23,4.956522,1.186219,12,5.25,0.8660254,11,4.636364,1.433369,2.1,6.4,4.42
toxin,,641,17,4.941176,0.9663455,7,4.857143,1.069045,10,5,0.942809,,,
trade,,366,21,4.47619,1.209093,16,4.4375,1.314978,5,4.6,0.8944272,,,
tragedy,n,347,28,4,0.9813068,15,4.266667,0.7988086,13,3.692308,1.1094,1.78,6.24,3.5
tranquility,n,166,23,3.086957,1.23998,13,3,1.290994,10,3.2,1.229273,,,
trauma,n,512,31,4.580645,1.258946,14,4.5,1.400549,17,4.647059,1.169464,2.1,6.33,2.84
triump,,428,27,4.703704,1.4888,15,4.866667,1.505545,12,4.5,1.507557,7.8,5.78,6.98
trouble,n,521,24,4.75,1.359348,10,4.9,1.449138,14,4.642857,1.336306,3.03,6.85,4.85
trust,n,226,20,4.05,1.099043,12,4.416667,1.1645,8,3.5,0.7559289,6.68,5.3,6.61
truth,,404,20,4,0.7947194,13,4,0.9128709,7,4,0.5773503,7.8,5,6.47
turmoil,,57,23,4.869565,1.099766,16,4.9375,1.12361,7,4.714286,1.112697,,,
twikle,,596,32,2.84375,1.39375,14,3.285714,1.637473,18,2.5,1.098127,,,
two-fisted,adj,661,20,5.7,1.128576,8,5.875,1.125992,12,5.583333,1.1645,,,
unchanging,,456,26,4.307692,1.086986,16,4.375,1.147461,10,4.2,1.032796,,,
uncivilized,,429,27,4.62963,1.181529,15,4.6,1.242118,12,4.666667,1.154701,,,
uncommitted,,257,21,4.333333,1.316561,14,4.214286,1.188313,7,4.571429,1.618347,,,
uncomplicated,,287,22,4.045455,1.326552,12,4,1.651446,10,4.1,0.875595,,,
unconventional,,504,31,4.225806,1.175009,14,4.571429,1.2225,17,3.941176,1.088037,,,
uneasiness,n,256,21,3.809524,1.209093,14,4,1.1094,7,3.428571,1.397276,,,
unfaithful,adj,471,30,4.566667,1.546594,14,4.142857,1.231456,16,4.9375,1.730848,2.05,6.2,3.02
unfamiliar,adj,316,25,3.76,0.7788881,12,3.583333,0.7929615,13,3.923077,0.7595545,,,
unfeigned,,232,20,3.95,1.234376,12,4.416667,1.083625,8,3.25,1.164965,,,
unfit,,189,30,4.433333,1.222866,18,4.222222,1.262843,12,4.75,1.13818,,,
unflattering,,457,26,4.192308,1.386196,16,4,1.414214,10,4.5,1.354006,,,
unkempt,adj,25,27,4.333333,1.54422,16,4.375,1.454877,11,4.272727,1.737292,,,
untroubled,adj,113,20,4.3,1.260743,9,4.555556,1.130388,11,4.090909,1.375103,7.62,3.89,5.53
upscale,adj,322,25,3.68,0.9882645,12,3.833333,1.029857,13,3.538462,0.9674179,,,
venom,,583,19,4.684211,1.733738,13,4.384615,1.894662,6,5.333333,1.21106,2.68,6.08,3.94
verbose,,331,17,4.058824,1.144038,5,3.4,0.8944272,12,4.333333,1.154701,,,
victim,n,524,37,3.486486,1.260988,20,3.25,1.332785,17,3.764706,1.147247,2.18,6.06,2.69
victory,,647,32,4.78125,1.156591,20,4.95,1.276302,12,4.5,0.904534,8.32,6.63,7.26
vigorous,,23,27,5.111111,1.310705,16,5.125,1.586401,11,5.090909,0.8312094,6.79,5.9,5.41
violation,,556,20,4.65,1.308877,12,4.416667,1.378954,8,5,1.195229,,,
violent,adj,624,21,5.809524,1.030488,11,5.727273,1.190874,10,5.9,0.875595,2.29,6.89,5.16
virgin,,9,15,2.733333,1.222799,9,2.888889,1.166667,6,2.5,1.378405,6.45,5.51,6.24
virtuous,adj,20,26,3.384615,1.358732,12,3.583333,1.083625,14,3.214286,1.57766,,,
virus,,547,25,4.92,1.6052,15,5.2,1.859339,10,4.5,1.080123,,,
vision,n,258,21,3.857143,1.195229,14,3.785714,1.251373,7,4,1.154701,6.62,4.66,6.02
vivid,adj,325,17,3.529412,1.178858,5,4.4,1.140175,12,3.166667,1.029857,,,
volunteer,,151,30,3.166667,0.9128709,17,2.941176,0.8993462,13,3.461538,0.877058,,,
wail,,490,21,3.666667,1.622755,13,4.230769,1.535895,8,2.75,1.38873,,,
weak,adj,398,27,3.62963,1.334401,16,3.625,1.543805,11,3.636364,1.026911,,,
wealthy,adj,352,28,4.785714,1.1661,15,4.733333,1.162919,13,4.846154,1.214232,7.7,5.8,6.77
week,,223,20,4.15,0.875094,12,4.083333,0.9003366,8,4.25,0.8864053,,,
whine,v,548,25,3.52,1.50333,15,3.6,1.804756,10,3.4,0.9660918,,,
whistle,,433,44,4.5,1.355437,25,4.36,1.604161,19,4.684211,0.9459053,5.81,4.69,5.27
white,,451,20,3.5,1.100239,4,3,1.414214,16,3.625,1.024695,6.47,4.37,5.98
wimp,n,363,20,4.5,1.317893,15,4.266667,1.279881,5,5.2,1.30384,,,
wise,adj,460,26,4.230769,1.305609,16,4.625,1.147461,10,3.6,1.349897,7.52,3.91,6.7
wish,v,371,21,4.047619,1.43095,16,4.0625,1.526161,5,4,1.224745,7.09,5.16,5.28
woman,n,39,22,1.363636,0.9021379,11,1.636364,1.206045,11,1.090909,0.3015113,6.64,5.32,6.33
word,,572,20,4.1,0.8522416,11,4.272727,0.904534,9,3.888889,0.781736,,,
work,,399,27,4.62963,1.36292,16,4.8125,1.376893,11,4.363636,1.361817,,,
working,,82,33,4.818182,0.9828067,14,5.357143,0.8418974,19,4.421053,0.9015905,,,
year,,494,33,4.121212,0.8929437,22,4.272727,1.031957,11,3.818182,0.4045199,,,
yellow,,356,27,3.185185,1.039121,13,3.230769,1.300887,14,3.142857,0.7703289,5.61,4.43,5.47
yelp,,119,20,4.1,1.071153,9,4.111111,1.054093,11,4.090909,1.136182,,,
young,adj,83,33,3.515152,1.277723,14,3.5,1.286019,19,3.526316,1.306753,6.89,5.64,5.3
youthful,,577,21,3.809524,1.289149,9,3.888889,1.364225,12,3.75,1.288057,6.75,5.67,5.11
brevity,,159,,,,,,,,,,,,
daring,adj,94,26,4.5,1.140175,17,4.411765,1.227743,9,4.666667,1,,,
dirty,,98,26,4.692308,1.049542,17,4.764706,0.9701425,9,4.555556,1.236033,3.08,4.88,4.7
growing,,99,26,3.692308,1.568929,17,3.705882,1.57181,9,3.666667,1.658312,,,
innocent,adj,93,26,4.038462,0.870897,17,4.294118,0.8488747,9,3.555556,0.7264832,6.51,4.21,5.28
intuitive,adj,96,26,4.115385,1.142871,17,4.352941,1.221739,9,3.666667,0.8660254,,,
powerful,,91,26,5.153846,1.405484,17,5.058824,1.43486,9,5.333333,1.414214,6.84,5.83,7.19
teacher,n,100,26,5.384615,1.235376,17,5.470588,1.007326,9,5.222222,1.641476,5.68,4.05,5.11
wink,,92,26,4.538462,0.9478721,17,4.647059,1.057188,9,4.333333,0.7071068,6.93,5.44,5.7
